ori,agency_name,location,location_type,county
sc0460100,clover-police-department,clover,city-town,york
sc0460200,fort-mill-police-department,fort-mill,city-town,york
sc0460300,rock-hill-police-department,rock-hill,city-town,york
sc0460400,york-police-department,york,city-town,york
sc0460500,tega-cay-police-department,tega-cay,city-town,york
sc0460600,winthrop-university,rock-hill,city-town,york
sc0460700,york-technical-college,york,city-town,york
sc0462600,state-transport-police:-york-county,york,county,york
sc046990x,department-of-health-and-environmental-control-drug-control:,york,county,york
sc046fc00,forestry-commission:-york-county,york,county,york
sc046nr00,department-of-natural-resources:-york-county,york,county,york
sc046sp00,highway-patrol:-york-county,york,county,york
